Song Title,Artist,Year,Album,Initial Emotion,Study Quality
Tum Se Hi,Mohit Chauhan,2007,Jab We Met,Happy,"Melodic, gentle vocals"
Kabira,Arijit Singh/Harshdeep Kaur,2013,Yeh Jawaani Hai Deewani,Happy,"Calming chorus, soft instrumentation"
Mitwa,Shankar Mahadevan,2006,Kabhi Alvida Naa Kehna,Happy,Progressive calming effect
Shayad,Arijit Singh,2020,Love Aaj Kal,Happy,"Soft, uplifting melody"
Tum Ho,Mohit Chauhan,2009,Rockstar,Happy,"Acoustic, soothing progression"
Nahin Samne,A.R. Rahman,2000,Taal,Happy,Rhythmic yet calming
Phir Le Aya Dil,Arijit Singh,2012,Barfi!,Happy,"Jazz-inspired, relaxing"
Kun Faya Kun,A.R. Rahman/Javed Ali,2011,Rockstar,Happy,"Spiritual, meditative"
Agar Tum Saath Ho,Arijit Singh/Alka Yagnik,2015,Tamasha,Sad,Builds to peaceful resolution
Luka Chuppi,A.R. Rahman/Lata Mangeshkar,2006,Rang De Basanti,Sad,"Ethereal, ambient quality"
Channa Mereya,Arijit Singh,2016,Ae Dil Hai Mushkil,Sad,Melodious with calming effect
Tujhe Bhula Diya,Mohit Chauhan/Shekhar Ravjiani,2010,Anjaana Anjaani,Sad,Gentle progression
Main Agar Kahoon,Sonu Nigam,2007,Om Shanti Om,Sad,Soothing orchestration
Khaabon Ke Parinday,Arijit Singh/Mohit Chauhan,2013,Zindagi Na Milegi Dobara,Sad,Uplifting transition
Abhi Mujh Mein Kahin,Sonu Nigam,2012,Agneepath,Sad,"Contemplative, peaceful"
Tu Hi Hai,A.R. Rahman,2016,Dear Zindagi,Sad,"Simple, comforting melody"
Bulleya,Amit Mishra/Shilpa Rao,2016,Ae Dil Hai Mushkil,Angry,"Sufi-inspired, meditative"
Nadaan Parindey,A.R. Rahman,2011,Rockstar,Angry,Progressive calming
Haareya,Arijit Singh,2017,Meri Pyaari Bindu,Angry,Soft instrumental break
Masakali,Mohit Chauhan,2009,Delhi-6,Angry,Playful to peaceful
Jo Bhi Main,Mohit Chauhan,2011,Rockstar,Angry,Introspective quality
Malang,Siddharth Mahadevan,2013,Dhoom 3,Angry,Dynamic to calming
Khali Salam Dua,Sonu Nigam/Shreya Ghoshal,2010,Kurbaan,Angry,"Measured, meditative"
Naina,Arijit Singh,2015,Bajirao Mastani,Angry,Transitional emotion
Ilahi,Arijit Singh,2013,Yeh Jawaani Hai Deewani,Surprised,Rhythmic yet focusing
Safarnama,Lucky Ali,2015,Tamasha,Surprised,Journey-like structure
